"ptc_key","wave","hh_id","ptc_id","outdoor_temp_idw","outdoor_dew_idw","outdoor_RH"
"PT20180115001",1,"HH20180115","PT2018011500",-0.18713164111922,-17.5900243309002,25.6262216627253
"PT20180115002",2,"HH20180115","PT2018011500",1.01564836396182,-11.9646778042959,37.3088722664729
"PT20180115004",4,"HH20180115","PT2018011500",-0.59959502439024,-15.0607317073171,32.6035000346511
"PT20180116001",1,"HH20180116","PT2018011600",0.160475358880781,-17.5900243309002,24.9882383065217
"PT20180116002",2,"HH20180116","PT2018011600",1.36022636396182,-11.9646778042959,36.3969587536664
"PT20180116004",4,"HH20180116","PT2018011600",-0.25675902439024,-15.0607317073171,31.8001084587293
"PT20180117001",1,"HH20180117","PT2018011700",0.13127085888078,-17.5900243309002,25.0411528475516
"PT20180117002",2,"HH20180117","PT2018011700",1.34628386396182,-11.9646778042959,36.4333713251627
"PT20180117004",4,"HH20180117","PT2018011700",-0.39748402439024,-15.0607317073171,32.1271817224593
"PT20180118001",1,"HH20180118","PT2018011800",-2.65644914111922,-17.5900243309002,30.7167092515979
"PT20180118004",4,"HH20180118","PT2018011800",-3.07147352439024,-15.0607317073171,39.1116759724264
"PT20180118012",2,"HH20180118","PT2018011801",-1.45932413603818,-11.9646778042959,44.6585723894042
"PT20180119001",1,"HH20180119","PT2018011900",-1.39380464111922,-17.5900243309002,27.9857455803809
"PT20180119002",2,"HH20180119","PT2018011900",-0.219416636038182,-11.9646778042959,40.792759979701
"PT20180119004",4,"HH20180119","PT2018011900",-1.84218702439024,-15.0607317073171,35.7104687184804
"PT20180120001",1,"HH20180120","PT2018012000",-0.35719764111922,-17.5900243309002,25.9449447841308
"PT20180120002",2,"HH20180120","PT2018012000",0.834642863961818,-11.9646778042959,37.7980730066327
"PT20180121001",1,"HH20180121","PT2018012100",-1.87305590138913,-18.5294382172102,26.7737048476576
"PT20180121002",2,"HH20180121","PT2018012100",-1.03488179447414,-13.1366968333073,39.3873791257686
"PT20180121004",4,"HH20180121","PT2018012100",-2.70642066146454,-16.3925428727277,34.0863943970286
"PT20180123001",1,"HH20180123","PT2018012300",-1.29961964111922,-17.5900243309002,27.7931273121814
"PT20180123002",2,"HH20180123","PT2018012300",-0.117522636038182,-11.9646778042959,40.4920280132303
