hh_id,ptc_id,wave,wealth_index
HH20180710,PT2018071000,1,-6.545648252432778
HH20180753,PT2018075300,1,-1.9439673742900971
HH20180754,PT2018075400,1,-0.67846528195943
HH20180755,PT2018075500,1,-5.750956296137719
HH20180756,PT2018075600,1,-0.7661834764877953
HH20180757,PT2018075700,1,-2.266696355013984
HH20181009,PT2018100900,1,-1.4491217627592037
HH20181010,PT2018101000,1,-4.4908128905110045
HH20181011,PT2018101100,1,-3.485926435392099
HH20181050,PT2018105000,1,-1.9909111404888065
HH20181094,PT2018109400,1,-5.434741806306257
HH20181095,PT2018109500,1,-6.019571768667441
HH20181096,PT2018109600,1,-1.7450014619090743
HH20180181,PT2018018100,1,-3.2730246776307395
HH20180296,PT2018029600,1,-3.3840576089081713
HH20180355,PT2018035500,1,1.7423784769296702
HH20180356,PT2018035600,1,0.6158576778846585
HH20180711,PT2018071100,1,-4.3601792132283315
HH20180712,PT2018071200,1,-3.7671859501162586
HH20180747,PT2018074700,1,-1.1154075421993588
HH20180748,PT2018074800,1,-0.4997225330818897
HH20180758,PT2018075800,1,1.6966382983048394
HH20180759,PT2018075900,1,2.6679620134322364
HH20180760,PT2018076000,1,-0.0634536599452963
HH20180761,PT2018076100,1,0.06313842168453787
HH20181012,PT2018101200,1,3.0307420076724196
HH20181013,PT2018101300,1,-4.03026106593447
HH20181014,PT2018101400,1,1.2392931942962648
HH20181015,PT2018101500,1,4.077897069641476
HH20181086,PT2018108600,1,1.3845627256264659
HH20181087,PT2018108700,1,0.23589068488161477
HH20181092,PT2018109200,1,2.2602035698336045
HH20181093,PT2018109300,1,6.930107911559455
HH20180170,PT2018017000,1,-0.266316611164216
HH20180316,PT2018031600,1,-0.2596475215183419
HH20180317,PT2018031700,1,5.002801154572939
HH20180318,PT2018031800,1,-0.38845332457932036
HH20180319,PT2018031900,1,-0.43125936775523466
HH20180320,PT2018032000,1,-2.5873728298555774
HH20180713,PT2018071300,1,0.7598422987978909
HH20180714,PT2018071400,1,14.906622086612332
HH20180746,PT2018074600,1,2.783646659837412
HH20180775,PT2018077500,1,3.548369031544183
HH20180778,PT2018077800,1,-0.9646339647564993
HH20180783,PT2018078300,1,0.5067078432566835
HH20181016,PT2018101600,1,9.393586496137209
HH20181017,PT2018101700,1,0.9353616450381876
HH20181018,PT2018101800,1,-3.11319820415172
HH20181019,PT2018101900,1,-1.0154695702471221
