ptc_key,wave,hh_id,ptc_id,out_temp_24h,out_dew_24h,rh_24h,out_temp_season,out_dew_season,rh_season
PT20180717002,2,HH20180717,PT2018071700,-5.42258102752091,-11.3757860282879,62.9231903782622,-1.25037454484995,-13.1101563387812,40.0998023460174
PT20180717004,4,HH20180717,PT2018071700,0.466286662411043,-13.8465258388337,33.3354425702015,-2.92075206021012,-16.3624680407591,34.7199752413486
PT20180718001,1,HH20180718,PT2018071800,-9.38941741665767,-28.1001842326244,20.2719248697096,-2.13382515324125,-18.5057662807895,27.3484028575364
PT20180719001,1,HH20180719,PT2018071900,-9.36045832354562,-28.1023137653986,20.2219265106079,-2.10470995093174,-18.5069104921867,27.2870491427342
PT20180719002,2,HH20180719,PT2018071900,-5.42988733817529,-11.362196934273,63.0263986554693,-1.25866344599393,-13.1089959766606,40.1279371445366
PT20180719044,4,HH20180719,PT2018071904,0.463174670717548,-13.8402173345386,33.3600944570058,-2.92628394224491,-16.3613862077689,34.7373806364427
PT20180720001,1,HH20180720,PT2018072000,-11.0923691564266,-25.0184106763231,30.739302315532,-1.93269247583777,-18.5262603863761,26.8988519609972
PT20180720002,2,HH20180720,PT2018072000,-6.13649188117121,-14.1950835022257,52.9021077675613,-1.0824001706042,-13.133186292954,39.5357821247107
PT20180720004,4,HH20180720,PT2018072000,-3.54822269886721,-12.7976129391963,48.7468958262845,-2.75724909875654,-16.3887749665477,34.2259049975513
PT20180721001,1,HH20180721,PT2018072100,-11.1046060854775,-25.0219722589268,30.7593939785492,-1.94244013572086,-18.5272933608026,26.9158174001652
PT20180722001,1,HH20180722,PT2018072200,-11.1496036719545,-25.0224201100707,30.8685820136885,-1.98658164772901,-18.5269157112012,27.0043966932772
PT20180722002,2,HH20180722,PT2018072200,-6.20728950006516,-14.2051420696872,53.1450845360668,-1.15102524144,-13.1343049936422,39.7312544712131
PT20180722004,4,HH20180722,PT2018072200,-3.58999568642585,-12.8071055959567,48.861743172278,-2.79829815297929,-16.3896526973526,34.3278056883233
PT20180723001,1,HH20180723,PT2018072300,-11.1388604641543,-25.021969782278,30.8434287345996,-1.97622705716872,-18.5268540794683,26.9839334641297
PT20180723002,2,HH20180723,PT2018072300,-6.18987978375041,-14.2032611337168,53.0826427194941,-1.13401328905655,-13.134068513599,39.68256565839
PT20180723004,4,HH20180723,PT2018072300,-3.59677417004867,-12.807602475441,48.8845317124757,-2.8050436219658,-16.3896470560864,34.3450123716024
PT20180724001,1,HH20180724,PT2018072400,-11.0278948069996,-25.0172884003092,30.5850430193346,-1.86997714757609,-18.526845295091,26.7735336524013
PT20180724002,2,HH20180724,PT2018072400,-6.08208396019482,-14.1954086952012,52.6815279168163,-1.02824868606782,-13.1341946505345,39.3762595600194
PT20180724004,4,HH20180724,PT2018072400,-3.49106707699356,-12.7944210846171,48.551828676162,-2.70021558793093,-16.3897685534597,34.0785955673395
PT20180725001,1,HH20180725,PT2018072500,-11.7971995451832,-23.016760409043,38.8836744395899,-2.09792360865477,-18.5145496240844,27.2556911611052
PT20180725044,4,HH20180725,PT2018072504,1.66992138334822,-12.150565148185,35.0711690259528,-2.91983588499935,-16.3722711026046,34.6892496829126
PT20180726001,1,HH20180726,PT2018072600,-11.8174208243734,-23.0150758323654,38.9525231164852,-2.11800805448428,-18.5138062746453,27.29784096065
PT20180726002,2,HH20180726,PT2018072600,-4.0196522755784,-12.0796601404631,53.5037976738404,-1.29317364422844,-13.117997799797,40.2002219732313
PT20180726004,4,HH20180726,PT2018072600,1.66315735826907,-12.1497483255984,35.0904457455845,-2.92740101176271,-16.3711472954115,34.7120046551205
PT20180727001,1,HH20180727,PT2018072700,-11.7553725393512,-23.0138203914669,38.7637137556702,-2.05720594428484,-18.5144007940801,27.1742832412029
PT20180727002,2,HH20180727,PT2018072700,-3.9221855544917,-12.0751851978209,53.1334697041391,-1.19856966538824,-13.1185166100742,39.920860897609
PT20180727004,4,HH20180727,PT2018072700,1.71585070104595,-12.148955840256,34.960675883548,-2.87550640555078,-16.3722669024298,34.5752257402844
PT20180727012,2,HH20180727,PT2018072701,-5.63192508458733,-15.7382021140386,44.8327393766179,-1.19856966538824,-13.1185166100742,39.920860897609
