ptc_id,wave,ID_VILLAGE,outdoor_temp_seasonal,outdoor_temp_24h,outdoor_dew_seasonal,outdoor_dew_24h
PT2018032100,2,10892,-1.450558448,-4.946601088,-12.54055813,-15.49038943
PT2018032200,2,10889,-1.300846877,-1.676138387,-12.5267006,-7.160661084
PT2018032300,2,12308,1.344418364,-7.394523874,-11.9646778,-16.26275882
PT2018032800,2,12304,1.736803864,-1.209339528,-11.9646778,-9.085870458
PT2018032900,2,12304,1.725591364,-1.21694678,-11.9646778,-9.110524756
PT2018033000,2,12304,1.709068364,-1.233334112,-11.9646778,-9.095525511
PT2018033200,2,12068,-1.862489087,-7.919605132,-13.6124105,-19.44749516
PT2018033300,2,12068,-1.891459587,-7.92590888,-13.6124105,-19.42426133
PT2018033400,2,12064,-1.212148688,-2.181662461,-13.25135023,-13.7435583
PT2018033500,2,12064,-1.291549343,-2.261696664,-13.25093071,-13.74439493
PT2018033501,2,12064,-1.291549343,-2.261696664,-13.25093071,-13.74439493
PT2018033600,2,12064,-1.216911947,-7.535089879,-13.25203545,-18.90131417
PT2018033700,2,12064,-1.234347815,-2.205054938,-13.25180998,-13.74706282
PT2018033900,2,12064,-1.239901516,-2.211240305,-13.25238612,-13.74942989
PT2018034000,2,12070,-2.002382087,-1.518101383,-13.6124105,-6.055406215
PT2018034100,2,12070,-2.007484587,-1.523007685,-13.6124105,-6.059748374
PT2018034200,2,12070,-2.141891587,-1.655513996,-13.6124105,-6.101813363
PT2018034400,2,12070,-2.012346587,-1.527630904,-13.6124105,-6.065032931
PT2018034500,2,12074,-1.752496087,-7.753623331,-13.6124105,-17.62626933
PT2018034600,2,12074,-1.726268587,-7.728471665,-13.6124105,-17.62961046
PT2018034700,2,12074,-1.725612087,-7.727431928,-13.6124105,-17.62842028
PT2018034800,2,12067,-1.925857587,-4.657284985,-13.6124105,-15.09849488
PT2018034900,2,12067,-1.865934087,-4.59491808,-13.6124105,-15.08768833
PT2018034901,2,12067,-1.865934087,-4.59491808,-13.6124105,-15.08768833
PT2018035000,2,12067,-1.847149087,-4.575116197,-13.6124105,-15.08319092
PT2018035300,2,12111,-1.624173087,-13.1804087,-13.6124105,-24.26056356
PT2018035400,2,12111,-1.634443087,-13.19095469,-13.6124105,-24.26089572
PT2018035500,2,12110,-1.124016622,-4.622559554,-13.15273969,-15.77745051
PT2018035700,2,12316,1.981106364,-3.819442647,-11.9646778,-14.46974433
PT2018035801,2,12316,1.982913364,-3.817497949,-11.9646778,-14.46794384
PT2018035900,2,12316,1.983589364,-3.816704168,-11.9646778,-14.46691782
PT2018036100,2,12311,2.447409717,-6.576129987,-12.76078777,-16.51168981
PT2018036101,2,12311,2.447409717,-9.740786703,-12.76078777,-24.1534241
PT2018036200,2,12311,2.449292899,-6.574083618,-12.75977092,-16.51156512
PT2018036300,2,12311,2.483417635,-6.539893617,-12.76025793,-16.51062228
PT2018036400,2,12311,2.432156415,-6.591296313,-12.75985575,-16.51201248
PT2018036500,2,12311,2.4262948,-6.597310931,-12.76054451,-16.51239432
PT2018036600,2,12308,1.317196364,-7.42205078,-11.9646778,-16.26366654
PT2018036700,2,12304,1.747366364,-1.198590191,-11.9646778,-9.084013091
PT2018036901,2,12304,1.765013864,-1.18049044,-11.9646778,-9.085946391
PT2018037000,2,12304,1.777903364,-1.166282944,-11.9646778,-9.095494712
PT2018037100,2,12068,-1.887124087,-7.939503008,-13.6124105,-19.44263952
PT2018037300,2,12068,-1.923251087,-7.958844884,-13.6124105,-19.42543446
PT2018037400,2,12068,-1.888632087,-7.922858699,-13.6124105,-19.42403307
PT2018037500,2,12061,-2.038093087,-5.603008341,-13.6124105,-17.1737659
PT2018037600,2,12061,-2.076540587,-5.640858107,-13.6124105,-17.17245153
PT2018037700,2,12308,1.240834364,-7.497508138,-11.9646778,-16.26097339
PT2018037800,2,12315,2.028582364,-3.767109313,-11.9646778,-14.46553325
PT2018037901,2,12315,2.029927864,-3.766085734,-11.9646778,-14.46371144
PT2018038000,2,12318,1.776778864,-3.6750212,-11.9646778,-11.06666262
PT2018038100,2,10889,-1.319344599,-1.693880579,-12.52783804,-7.16083477
PT2018038400,2,10889,-1.329715507,-1.703830537,-12.52582335,-7.169417931
PT2018038500,2,10891,-1.305031266,-2.749497471,-12.53827518,-12.32538403
PT2018038600,2,10889,-1.319615409,-1.694177921,-12.52718719,-7.162783676
PT2018038700,2,10889,-1.301502686,-1.676845685,-12.52737507,-7.158242978
PT2018038800,2,10889,-1.294808462,-2.851023092,-12.52670116,-13.40362367
PT2018038900,2,10891,-1.295014481,-2.734045717,-12.53878255,-12.31873775
PT2018039001,2,10891,-1.283243395,-5.270869415,-12.53708781,-13.43282567
PT2018039100,2,10889,-1.312718955,-1.6875536,-12.52706019,-7.161816567
PT2018039301,2,10891,-1.222580978,-5.242951127,-12.53752577,-13.48972037
PT2018039400,2,10889,-1.302519391,-1.677705891,-12.52628939,-7.162508753
PT2018039500,2,10889,-1.332416785,-1.706405861,-12.52763034,-7.164258869
PT2018039600,2,10889,-1.307152461,-1.68205995,-12.52500697,-7.168034779
PT2018039700,2,10891,-1.285207255,-2.724657069,-12.53887574,-12.31930893
PT2018039800,2,10891,-1.403988727,-2.867622841,-12.52487486,-12.34354059
PT2018039900,2,10891,-1.39783865,-2.860667564,-12.52584387,-12.3429645
PT2018040001,2,12061,-1.941217087,-5.505910981,-13.6124105,-17.173279140000002
PT2018040100,2,12123,-3.08218536,-9.167458827,-12.94054336,-18.13440072
PT2018040300,2,12123,-3.090954712,-7.949353347,-12.94162663,-13.63445566
PT2018040400,2,12071,-1.911512087,-5.621741928,-13.6124105,-15.79423731
PT2018040500,2,12071,-1.947522087,-5.660666085,-13.6124105,-15.79722131
PT2018040600,2,12071,-1.930518087,-5.642959021,-13.6124105,-15.7965014
PT2018040700,2,12307,1.194664864,-3.427929514,-11.9646778,-11.03965498
