"ptc_key","wave","hh_id","ptc_id","outdoor_temp_idw","outdoor_dew_idw","RH"
"PT20180108004",4,"HH20180108","PT2018010800",-6.39567329371666,-17.6153137259297,40.6194084073704
"PT20180109001",1,"HH20180109","PT2018010900",-0.00813718502336527,-16.2443450304359,28.3141427653494
"PT20180109002",2,"HH20180109","PT2018010900",-3.91524971345778,-9.50312330513198,65.140675735403
"PT20180110001",1,"HH20180110","PT2018011000",-3.33284424418056,-10.7053454021012,56.7192214004096
"PT20180110002",2,"HH20180110","PT2018011000",-7.36274062196714,-12.9458605926687,64.3378322441668
"PT20180110004",4,"HH20180110","PT2018011000",-6.3422698581614,-17.6133358755535,40.4606020905892
"PT20180111001",1,"HH20180111","PT2018011100",-2.73386008717877,-11.6882534257156,50.1610885500045
"PT20180111002",2,"HH20180111","PT2018011100",-5.3145622536392,-13.4460746726617,52.8253767144205
"PT20180111004",4,"HH20180111","PT2018011100",-10.9180522548025,-27.1301701743196,25.0157575371802
"PT20180112001",1,"HH20180112","PT2018011200",1.03462111260297,-12.2053389930152,36.544843021686
"PT20180112011",1,"HH20180112","PT2018011201",1.03462111260297,-12.2053389930152,36.544843021686
"PT20180112012",2,"HH20180112","PT2018011201",-1.88767809878699,-16.1199133772272,32.8217747686144
"PT20180112014",4,"HH20180112","PT2018011201",-4.99404304726872,-15.3993972843625,43.9317548833479
"PT20180112022",2,"HH20180112","PT2018011202",-0.304805068192115,-11.861176576547,41.3887766069723
"PT20180113001",1,"HH20180113","PT2018011300",-6.20281210209532,-17.8480567451108,39.2466569103156
"PT20180113002",2,"HH20180113","PT2018011300",-1.72590926684496,-15.0799840900153,35.3500398826182
"PT20180113004",4,"HH20180113","PT2018011300",-1.13559047315925,-17.6697541974714,27.2772147701799
"PT20180114001",1,"HH20180114","PT2018011400",0.163102762674196,-11.7192402965669,40.4645852117113
"PT20180114002",2,"HH20180114","PT2018011400",1.86595881760481,-11.5722543147246,36.2239360885676
"PT20180114004",4,"HH20180114","PT2018011400",-1.22161325926349,-19.5736152849867,23.345837535347
"PT20180115001",1,"HH20180115","PT2018011500",0.125190576997472,-11.7192407428128,40.5758559748789
"PT20180115002",2,"HH20180115","PT2018011500",1.83364118153042,-11.5721285744026,36.3080158611713
"PT20180115004",4,"HH20180115","PT2018011500",-3.96841821598586,-17.7452071709132,33.4318907481754
"PT20180116001",1,"HH20180116","PT2018011600",2.61525464285714,-14.1390893769222,27.9061413436242
"PT20180116002",2,"HH20180116","PT2018011600",-0.731595879366386,-18.5705074752228,24.5388402491483
"PT20180116004",4,"HH20180116","PT2018011600",-4.65990386604459,-13.9863753804469,48.1103380120936
"PT20180117001",1,"HH20180117","PT2018011700",0.838799041909123,-14.9136331369916,29.7350390509943
"PT20180117002",2,"HH20180117","PT2018011700",-0.754082046460999,-18.5798354414694,24.5596492384084
"PT20180117004",4,"HH20180117","PT2018011700",-3.90984415683618,-15.1776217994806,41.2382029834525
"PT20180118001",1,"HH20180118","PT2018011800",-3.27641933379045,-10.7047831870076,56.4837117863163
"PT20180118004",4,"HH20180118","PT2018011800",-6.28619547801474,-17.61844910292,40.2701867077916
"PT20180118012",2,"HH20180118","PT2018011801",-5.35391975355979,-9.29604350421742,73.7902486565379
