hh_id,wave,heatable_room,heatable_share,no_heat_room,no_heat_share,heat_dur_master,room_number_heatuse,heat_regular,use_share,regular_share,total_room,Treat_V,T_ATW,T_ATA,T_Storage,Treat_hh,T_Timing,year
HH20180152,1,6,85.71428571428571,1,14.285714285714285,54,6,6,85.71428571428571,85.71428571428571,7,0,0,0,0,0,2019,2018
HH20180152,2,6,85.71428571428571,1,14.285714285714285,100,6,5,85.71428571428571,71.42857142857143,7,1,1,0,1,1,2019,2019
HH20180152,4,5,83.33333333333334,1,16.666666666666664,100,5,5,83.33333333333334,83.33333333333334,6,1,1,0,0,1,2019,2021
HH20180153,1,2,100,0,0,40,2,2,100,100,2,0,0,0,0,0,2020,2018
HH20180153,2,5,100,0,0,60,3,3,60,60,5,0,0,0,0,0,2020,2019
HH20180153,4,5,71.42857142857143,2,28.57142857142857,80,4,4,57.14285714285714,57.14285714285714,7,1,1,0,0,1,2020,2021
HH20180154,1,6,75,2,25,120,6,6,75,75,8,0,0,0,0,0,2020,2018
HH20180154,2,8,100,0,0,120,6,6,75,75,8,0,0,0,0,0,2020,2019
HH20180154,4,7,70,3,30,140,7,7,70,70,10,1,1,0,0,1,2020,2021
HH20180155,4,5,62.5,3,37.5,100,5,5,62.5,62.5,8,1,1,0,0,1,2020,2021
HH20180156,1,3,100,0,0,60,1,3,33.33333333333333,100,3,0,0,0,0,0,0,2018
HH20180156,2,3,75,1,25,60,2,3,50,75,4,0,0,0,0,0,0,2019
HH20180156,4,4,66.66666666666666,2,33.33333333333333,80,4,4,66.66666666666666,66.66666666666666,6,0,0,0,0,0,0,2021
HH20180157,1,2,33.33333333333333,4,66.66666666666666,40,2,2,33.33333333333333,33.33333333333333,6,0,0,0,0,0,0,2018
HH20180157,2,6,100,0,0,40,2,2,33.33333333333333,33.33333333333333,6,0,0,0,0,0,0,2019
HH20180157,4,6,100,0,0,120,6,6,100,100,6,0,0,0,0,0,0,2021
HH20180159,1,3,75,1,25,20,1,1,25,25,4,0,0,0,0,0,2020,2018
HH20180159,2,4,100,0,0,29,2,2,50,50,4,0,0,0,0,0,2020,2019
HH20180159,4,5,100,0,0,100,5,5,100,100,5,1,1,0,0,1,2020,2021
HH20180160,1,6,66.66666666666666,3,33.33333333333333,101,5,6,55.55555555555556,66.66666666666666,9,0,0,0,0,0,2020,2018
HH20180160,2,7,77.77777777777779,2,22.22222222222222,160,7,8,77.77777777777779,88.88888888888889,9,0,0,0,0,0,2020,2019
HH20180160,4,7,70,3,30,120,6,6,60,60,10,1,1,0,0,1,2020,2021
HH20180161,1,3,100,0,0,40,2,2,66.66666666666666,66.66666666666666,3,0,0,0,0,0,0,2018
HH20180161,2,NA,NA,NA,NA,40,NA,2,NA,66.66666666666666,3,0,0,0,0,0,0,2019
HH20180161,4,3,50,3,50,23,2,2,33.33333333333333,33.33333333333333,6,0,0,0,0,0,0,2021
HH20180162,1,2,66.66666666666666,1,33.33333333333333,40,2,2,66.66666666666666,66.66666666666666,3,0,0,0,0,0,0,2018
HH20180162,2,2,50,2,50,40,2,2,50,50,4,0,0,0,0,0,0,2019
HH20180162,4,4,80,1,20,40,2,2,40,40,5,0,0,0,0,0,0,2021
HH20180163,1,4,100,0,0,80,4,4,100,100,4,0,0,0,0,0,2020,2018
HH20180163,2,4,100,0,0,60,3,3,75,75,4,0,0,0,0,0,2020,2019
HH20180164,1,2,66.66666666666666,1,33.33333333333333,20,2,1,66.66666666666666,33.33333333333333,3,0,0,0,0,0,2020,2018
HH20180164,2,3,100,0,0,41,2,3,66.66666666666666,100,3,0,0,0,0,0,2020,2019
HH20180164,4,3,75,1,25,40,2,2,50,50,4,1,1,0,0,1,2020,2021
HH20180165,1,1,100,0,0,20,1,1,100,100,1,0,0,0,0,0,0,2018
HH20180165,2,2,100,0,0,1,1,1,50,50,2,0,0,0,0,0,0,2019
HH20180165,4,4,80,1,20,20,1,1,20,20,5,0,0,0,0,0,0,2021
HH20180166,1,2,66.66666666666666,1,33.33333333333333,40,2,2,66.66666666666666,66.66666666666666,3,0,0,0,0,0,2020,2018
HH20180166,2,3,100,0,0,60,3,3,100,100,3,0,0,0,0,0,2020,2019
